This is the initial evaluation order of activities computed by FET. If the generation gets stuck after a certain number of activities, please check the activity corresponding to this number+1. You might find errors in your input.

The initial order of activities (id-s):

No: 1, Id: 36, Duration: 1, Teachers: Naomi Maina, Subject: Physical Education, Activity tags: , Students: Pp1 pp2 B
No: 2, Id: 37, Duration: 1, Teachers: Naomi Maina, Subject: Physical Education, Activity tags: , Students: Pp1 pp2 B
No: 3, Id: 38, Duration: 1, Teachers: Naomi Maina, Subject: Physical Education, Activity tags: , Students: Pp1 pp2 B
No: 4, Id: 39, Duration: 1, Teachers: Naomi Maina, Subject: Physical Education, Activity tags: , Students: Pp1 pp2 B
No: 5, Id: 28, Duration: 1, Teachers: John Koech, Subject: Social Studies, Activity tags: , Students: Pp1 pp2 B
No: 6, Id: 29, Duration: 1, Teachers: John Koech, Subject: Social Studies, Activity tags: , Students: Pp1 pp2 B
No: 7, Id: 30, Duration: 1, Teachers: John Koech, Subject: Social Studies, Activity tags: , Students: Pp1 pp2 B
No: 8, Id: 31, Duration: 1, Teachers: John Koech, Subject: Social Studies, Activity tags: , Students: Pp1 pp2 B
No: 9, Id: 7, Duration: 1, Teachers: Naomi Maina, Subject: IRE, Activity tags: , Students: Pp1 pp2 A
No: 10, Id: 8, Duration: 1, Teachers: Naomi Maina, Subject: IRE, Activity tags: , Students: Pp1 pp2 A
No: 11, Id: 9, Duration: 1, Teachers: Naomi Maina, Subject: IRE, Activity tags: , Students: Pp1 pp2 A
No: 12, Id: 16, Duration: 1, Teachers: Naomi Maina, Subject: Agriculture, Activity tags: , Students: Pp1 pp2 A
No: 13, Id: 17, Duration: 1, Teachers: Naomi Maina, Subject: Agriculture, Activity tags: , Students: Pp1 pp2 A
No: 14, Id: 18, Duration: 1, Teachers: Naomi Maina, Subject: Agriculture, Activity tags: , Students: Pp1 pp2 A
No: 15, Id: 19, Duration: 1, Teachers: Naomi Maina, Subject: Agriculture, Activity tags: , Students: Pp1 pp2 A
No: 16, Id: 46, Duration: 1, Teachers: Naomi Maina, Subject: Mathematics, Activity tags: , Students: Grade 1 3 A
No: 17, Id: 47, Duration: 1, Teachers: Naomi Maina, Subject: Mathematics, Activity tags: , Students: Grade 1 3 A
No: 18, Id: 48, Duration: 1, Teachers: Naomi Maina, Subject: Mathematics, Activity tags: , Students: Grade 1 3 A
No: 19, Id: 49, Duration: 1, Teachers: Naomi Maina, Subject: Mathematics, Activity tags: , Students: Grade 1 3 A
No: 20, Id: 50, Duration: 1, Teachers: Naomi Maina, Subject: Mathematics, Activity tags: , Students: Grade 1 3 A
No: 21, Id: 51, Duration: 1, Teachers: Naomi Maina, Subject: Mathematics, Activity tags: , Students: Grade 1 3 A
No: 22, Id: 62, Duration: 1, Teachers: Naomi Maina, Subject: Home Science, Activity tags: , Students: Grade 1 3 A
No: 23, Id: 63, Duration: 1, Teachers: Naomi Maina, Subject: Home Science, Activity tags: , Students: Grade 1 3 A
No: 24, Id: 64, Duration: 1, Teachers: Naomi Maina, Subject: Home Science, Activity tags: , Students: Grade 1 3 A
No: 25, Id: 65, Duration: 1, Teachers: Naomi Maina, Subject: Home Science, Activity tags: , Students: Grade 1 3 A
No: 26, Id: 72, Duration: 1, Teachers: Grace Muthoni, Subject: Music, Activity tags: , Students: Grade 1 3 B
No: 27, Id: 73, Duration: 1, Teachers: Grace Muthoni, Subject: Music, Activity tags: , Students: Grade 1 3 B
No: 28, Id: 74, Duration: 1, Teachers: Grace Muthoni, Subject: Music, Activity tags: , Students: Grade 1 3 B
No: 29, Id: 75, Duration: 1, Teachers: Grace Muthoni, Subject: Music, Activity tags: , Students: Grade 1 3 B
No: 30, Id: 76, Duration: 1, Teachers: Grace Muthoni, Subject: Music, Activity tags: , Students: Grade 1 3 B
No: 31, Id: 77, Duration: 1, Teachers: Grace Muthoni, Subject: Music, Activity tags: , Students: Grade 1 3 B
No: 32, Id: 81, Duration: 1, Teachers: Grace Muthoni, Subject: Business Studies, Activity tags: , Students: Grade 1 3 B
No: 33, Id: 82, Duration: 1, Teachers: Grace Muthoni, Subject: Business Studies, Activity tags: , Students: Grade 1 3 B
No: 34, Id: 83, Duration: 1, Teachers: Grace Muthoni, Subject: Business Studies, Activity tags: , Students: Grade 1 3 B
No: 35, Id: 52, Duration: 1, Teachers: Grace Muthoni, Subject: IRE, Activity tags: , Students: Grade 1 3 A
No: 36, Id: 53, Duration: 1, Teachers: Grace Muthoni, Subject: IRE, Activity tags: , Students: Grade 1 3 A
No: 37, Id: 54, Duration: 1, Teachers: Grace Muthoni, Subject: IRE, Activity tags: , Students: Grade 1 3 A
No: 38, Id: 55, Duration: 1, Teachers: Grace Muthoni, Subject: IRE, Activity tags: , Students: Grade 1 3 A
No: 39, Id: 56, Duration: 1, Teachers: Grace Muthoni, Subject: Business Studies, Activity tags: , Students: Grade 1 3 A
No: 40, Id: 57, Duration: 1, Teachers: Grace Muthoni, Subject: Business Studies, Activity tags: , Students: Grade 1 3 A
No: 41, Id: 58, Duration: 1, Teachers: Grace Muthoni, Subject: Business Studies, Activity tags: , Students: Grade 1 3 A
No: 42, Id: 59, Duration: 1, Teachers: Grace Muthoni, Subject: Physics, Activity tags: , Students: Grade 1 3 A
No: 43, Id: 60, Duration: 1, Teachers: Grace Muthoni, Subject: Physics, Activity tags: , Students: Grade 1 3 A
No: 44, Id: 61, Duration: 1, Teachers: Grace Muthoni, Subject: Physics, Activity tags: , Students: Grade 1 3 A
No: 45, Id: 84, Duration: 1, Teachers: Grace Ochieng, Subject: Geography, Activity tags: , Students: Grade 1 3 B
No: 46, Id: 85, Duration: 1, Teachers: Grace Ochieng, Subject: Geography, Activity tags: , Students: Grade 1 3 B
No: 47, Id: 86, Duration: 1, Teachers: Grace Ochieng, Subject: Geography, Activity tags: , Students: Grade 1 3 B
No: 48, Id: 40, Duration: 1, Teachers: Priscilla Ochieng, Subject: Geography, Activity tags: , Students: Pp1 pp2 B
No: 49, Id: 41, Duration: 1, Teachers: Priscilla Ochieng, Subject: Geography, Activity tags: , Students: Pp1 pp2 B
No: 50, Id: 42, Duration: 1, Teachers: Priscilla Ochieng, Subject: Geography, Activity tags: , Students: Pp1 pp2 B
No: 51, Id: 43, Duration: 1, Teachers: Priscilla Ochieng, Subject: Geography, Activity tags: , Students: Pp1 pp2 B
No: 52, Id: 44, Duration: 1, Teachers: Priscilla Ochieng, Subject: Geography, Activity tags: , Students: Pp1 pp2 B
No: 53, Id: 45, Duration: 1, Teachers: Priscilla Ochieng, Subject: Geography, Activity tags: , Students: Pp1 pp2 B
No: 54, Id: 1, Duration: 1, Teachers: John Koech, Subject: Science, Activity tags: , Students: Pp1 pp2 A
No: 55, Id: 2, Duration: 1, Teachers: John Koech, Subject: Science, Activity tags: , Students: Pp1 pp2 A
No: 56, Id: 3, Duration: 1, Teachers: John Koech, Subject: Science, Activity tags: , Students: Pp1 pp2 A
No: 57, Id: 4, Duration: 1, Teachers: John Koech, Subject: Science, Activity tags: , Students: Pp1 pp2 A
No: 58, Id: 5, Duration: 1, Teachers: John Koech, Subject: Science, Activity tags: , Students: Pp1 pp2 A
No: 59, Id: 6, Duration: 1, Teachers: John Koech, Subject: Science, Activity tags: , Students: Pp1 pp2 A
No: 60, Id: 10, Duration: 1, Teachers: John Koech, Subject: Physical Education, Activity tags: , Students: Pp1 pp2 A
No: 61, Id: 11, Duration: 1, Teachers: John Koech, Subject: Physical Education, Activity tags: , Students: Pp1 pp2 A
No: 62, Id: 12, Duration: 1, Teachers: John Koech, Subject: Physical Education, Activity tags: , Students: Pp1 pp2 A
No: 63, Id: 13, Duration: 1, Teachers: John Koech, Subject: Physical Education, Activity tags: , Students: Pp1 pp2 A
No: 64, Id: 14, Duration: 1, Teachers: John Koech, Subject: Physical Education, Activity tags: , Students: Pp1 pp2 A
No: 65, Id: 15, Duration: 1, Teachers: John Koech, Subject: Physical Education, Activity tags: , Students: Pp1 pp2 A
No: 66, Id: 20, Duration: 1, Teachers: John Koech, Subject: Geography, Activity tags: , Students: Pp1 pp2 A
No: 67, Id: 21, Duration: 1, Teachers: John Koech, Subject: Geography, Activity tags: , Students: Pp1 pp2 A
No: 68, Id: 22, Duration: 1, Teachers: John Koech, Subject: Geography, Activity tags: , Students: Pp1 pp2 A
No: 69, Id: 23, Duration: 1, Teachers: John Koech, Subject: Geography, Activity tags: , Students: Pp1 pp2 A
No: 70, Id: 66, Duration: 1, Teachers: Priscilla Ochieng, Subject: Science, Activity tags: , Students: Grade 1 3 B
No: 71, Id: 67, Duration: 1, Teachers: Priscilla Ochieng, Subject: Science, Activity tags: , Students: Grade 1 3 B
No: 72, Id: 68, Duration: 1, Teachers: Priscilla Ochieng, Subject: Science, Activity tags: , Students: Grade 1 3 B
No: 73, Id: 69, Duration: 1, Teachers: Priscilla Ochieng, Subject: Science, Activity tags: , Students: Grade 1 3 B
No: 74, Id: 70, Duration: 1, Teachers: Priscilla Ochieng, Subject: Science, Activity tags: , Students: Grade 1 3 B
No: 75, Id: 71, Duration: 1, Teachers: Priscilla Ochieng, Subject: Science, Activity tags: , Students: Grade 1 3 B
No: 76, Id: 24, Duration: 1, Teachers: Grace Ochieng, Subject: Kiswahili, Activity tags: , Students: Pp1 pp2 B
No: 77, Id: 25, Duration: 1, Teachers: Grace Ochieng, Subject: Kiswahili, Activity tags: , Students: Pp1 pp2 B
No: 78, Id: 26, Duration: 1, Teachers: Grace Ochieng, Subject: Kiswahili, Activity tags: , Students: Pp1 pp2 B
No: 79, Id: 27, Duration: 1, Teachers: Grace Ochieng, Subject: Kiswahili, Activity tags: , Students: Pp1 pp2 B
No: 80, Id: 32, Duration: 1, Teachers: Grace Ochieng, Subject: CRE, Activity tags: , Students: Pp1 pp2 B
No: 81, Id: 33, Duration: 1, Teachers: Grace Ochieng, Subject: CRE, Activity tags: , Students: Pp1 pp2 B
No: 82, Id: 34, Duration: 1, Teachers: Grace Ochieng, Subject: CRE, Activity tags: , Students: Pp1 pp2 B
No: 83, Id: 35, Duration: 1, Teachers: Grace Ochieng, Subject: CRE, Activity tags: , Students: Pp1 pp2 B
No: 84, Id: 78, Duration: 1, Teachers: Ruth Nyambura, Subject: Computer Studies, Activity tags: , Students: Grade 1 3 B
No: 85, Id: 79, Duration: 1, Teachers: Ruth Nyambura, Subject: Computer Studies, Activity tags: , Students: Grade 1 3 B
No: 86, Id: 80, Duration: 1, Teachers: Ruth Nyambura, Subject: Computer Studies, Activity tags: , Students: Grade 1 3 B
End - the order of activities (id-s)
